r_over_rs,D_GR,D_SSZ,delta,z_GR,z_SSZ
1.7926,1.0,1.0,0.0,0.0,0.0
1.7933,1.0,1.0,0.0,0.0,0.0
1.794,1.0,1.0,0.0,0.0,0.0
1.7947,1.0,1.0,0.0,0.0,0.0
1.7953999999999999,1.0,1.0,0.0,0.0,0.0
1.7961,1.0,1.0,0.0,0.0,0.0
1.7968,1.0,1.0,0.0,0.0,0.0
1.7974999999999999,1.0,1.0,0.0,0.0,0.0
1.7982,1.0,1.0,0.0,0.0,0.0
1.7989,1.0,1.0,0.0,0.0,0.0
1.7995999999999999,1.0,1.0,0.0,0.0,0.0
1.8003,1.0,1.0,0.0,0.0,0.0
1.801,1.0,1.0,0.0,0.0,0.0
1.8017,1.0,1.0,0.0,0.0,0.0
1.8024,1.0,1.0,0.0,0.0,0.0
1.8031,1.0,1.0,0.0,0.0,0.0
1.8038,1.0,1.0,0.0,0.0,0.0
1.8045,1.0,1.0,0.0,0.0,0.0
1.8052,1.0,1.0,0.0,0.0,0.0
1.8059,1.0,1.0,0.0,0.0,0.0
1.8066,1.0,1.0,0.0,0.0,0.0
1.8073000000000001,1.0,1.0,0.0,0.0,0.0
1.808,1.0,1.0,0.0,0.0,0.0
1.8087,1.0,1.0,0.0,0.0,0.0
1.8094000000000001,1.0,1.0,0.0,0.0,0.0
1.8101,1.0,1.0,0.0,0.0,0.0
1.8108,1.0,1.0,0.0,0.0,0.0
1.8115,1.0,1.0,0.0,0.0,0.0
1.8122,1.0,1.0,0.0,0.0,0.0
1.8129,1.0,1.0,0.0,0.0,0.0
1.8136,1.0,1.0,0.0,0.0,0.0
1.8143,1.0,1.0,0.0,0.0,0.0
1.815,1.0,1.0,0.0,0.0,0.0
1.8157,1.0,1.0,0.0,0.0,0.0
1.8164,1.0,1.0,0.0,0.0,0.0
1.8171,1.0,1.0,0.0,0.0,0.0
1.8178,1.0,1.0,0.0,0.0,0.0
1.8185,1.0,1.0,0.0,0.0,0.0
1.8192,1.0,1.0,0.0,0.0,0.0
1.8199,1.0,1.0,0.0,0.0,0.0
1.8206,1.0,1.0,0.0,0.0,0.0
1.8213,1.0,1.0,0.0,0.0,0.0
1.822,1.0,1.0,0.0,0.0,0.0
1.8227,1.0,1.0,0.0,0.0,0.0
1.8234,1.0,1.0,0.0,0.0,0.0
1.8241,1.0,1.0,0.0,0.0,0.0
1.8248,1.0,1.0,0.0,0.0,0.0
1.8255,1.0,1.0,0.0,0.0,0.0
1.8262,1.0,1.0,0.0,0.0,0.0
1.8269,1.0,1.0,0.0,0.0,0.0
1.8276,1.0,1.0,0.0,0.0,0.0
1.8283,1.0,1.0,0.0,0.0,0.0
1.829,1.0,1.0,0.0,0.0,0.0
1.8296999999999999,1.0,1.0,0.0,0.0,0.0
1.8304,1.0,1.0,0.0,0.0,0.0
1.8311,1.0,1.0,0.0,0.0,0.0
1.8317999999999999,1.0,1.0,0.0,0.0,0.0
1.8325,1.0,1.0,0.0,0.0,0.0
1.8332,1.0,1.0,0.0,0.0,0.0
1.8338999999999999,1.0,1.0,0.0,0.0,0.0
1.8346,1.0,1.0,0.0,0.0,0.0
1.8353,1.0,1.0,0.0,0.0,0.0
1.836,1.0,1.0,0.0,0.0,0.0
1.8367,1.0,1.0,0.0,0.0,0.0
1.8374,1.0,1.0,0.0,0.0,0.0
1.8381,1.0,1.0,0.0,0.0,0.0
1.8388,1.0,1.0,0.0,0.0,0.0
1.8395000000000001,1.0,1.0,0.0,0.0,0.0
1.8402,1.0,1.0,0.0,0.0,0.0
1.8409,1.0,1.0,0.0,0.0,0.0
1.8416000000000001,1.0,1.0,0.0,0.0,0.0
1.8423,1.0,1.0,0.0,0.0,0.0
1.843,1.0,1.0,0.0,0.0,0.0
1.8437000000000001,1.0,1.0,0.0,0.0,0.0
1.8444,1.0,1.0,0.0,0.0,0.0
1.8451,1.0,1.0,0.0,0.0,0.0
1.8458,1.0,1.0,0.0,0.0,0.0
1.8465,1.0,1.0,0.0,0.0,0.0
1.8472,1.0,1.0,0.0,0.0,0.0
1.8479,1.0,1.0,0.0,0.0,0.0
1.8486,1.0,1.0,0.0,0.0,0.0
1.8493,1.0,1.0,0.0,0.0,0.0
1.85,1.0,1.0,0.0,0.0,0.0
1.8507,1.0,1.0,0.0,0.0,0.0
1.8514,1.0,1.0,0.0,0.0,0.0
1.8521,1.0,1.0,0.0,0.0,0.0
1.8528,1.0,1.0,0.0,0.0,0.0
1.8535,1.0,1.0,0.0,0.0,0.0
1.8542,1.0,1.0,0.0,0.0,0.0
1.8549,1.0,1.0,0.0,0.0,0.0
1.8556,1.0,1.0,0.0,0.0,0.0
1.8563,1.0,1.0,0.0,0.0,0.0
1.857,1.0,1.0,0.0,0.0,0.0
1.8577,1.0,1.0,0.0,0.0,0.0
1.8584,1.0,1.0,0.0,0.0,0.0
1.8591,1.0,1.0,0.0,0.0,0.0
1.8598,1.0,1.0,0.0,0.0,0.0
1.8605,1.0,1.0,0.0,0.0,0.0
