r_over_rs,D_GR,D_SSZ,Xi
3.032508127,0.818681843,0.501856077,0.992603151
3.033508377,0.818748248,0.501853064,0.992615113
3.034508627,0.818814603,0.501850056,0.992627055
3.035508877,0.818880910,0.501847054,0.992638978
3.036509127,0.818947167,0.501844056,0.992650882
3.037509377,0.819013376,0.501841063,0.992662766
3.038509627,0.819079535,0.501838074,0.992674632
3.039509877,0.819145646,0.501835091,0.992686478
3.040510128,0.819211707,0.501832113,0.992698305
3.041510378,0.819277720,0.501829139,0.992710113
3.042510628,0.819343684,0.501826170,0.992721901
3.043510878,0.819409600,0.501823206,0.992733671
3.044511128,0.819475467,0.501820247,0.992745421
3.045511378,0.819541285,0.501817293,0.992757153
3.046511628,0.819607055,0.501814343,0.992768866
3.047511878,0.819672777,0.501811399,0.992780559
3.048512128,0.819738450,0.501808459,0.992792234
3.049512378,0.819804075,0.501805524,0.992803890
3.050512628,0.819869651,0.501802594,0.992815527
3.051512878,0.819935179,0.501799668,0.992827145
3.052513128,0.820000659,0.501796747,0.992838745
3.053513378,0.820066091,0.501793831,0.992850325
3.054513628,0.820131475,0.501790920,0.992861887
3.055513878,0.820196811,0.501788014,0.992873431
3.056514129,0.820262099,0.501785112,0.992884955
3.057514379,0.820327339,0.501782215,0.992896461
3.058514629,0.820392531,0.501779322,0.992907948
3.059514879,0.820457675,0.501776435,0.992919417
3.060515129,0.820522772,0.501773552,0.992930867
3.061515379,0.820587821,0.501770674,0.992942299
3.062515629,0.820652822,0.501767800,0.992953712
3.063515879,0.820717776,0.501764931,0.992965107
3.064516129,0.820782682,0.501762067,0.992976483
3.065516379,0.820847540,0.501759208,0.992987841
3.066516629,0.820912351,0.501756353,0.992999181
3.067516879,0.820977115,0.501753502,0.993010502
3.068517129,0.821041832,0.501750657,0.993021805
3.069517379,0.821106501,0.501747816,0.993033090
3.070517629,0.821171123,0.501744980,0.993044356
3.071517879,0.821235698,0.501742148,0.993055604
3.072518130,0.821300225,0.501739321,0.993066834
3.073518380,0.821364706,0.501736498,0.993078046
3.074518630,0.821429140,0.501733681,0.993089240
3.075518880,0.821493526,0.501730867,0.993100415
3.076519130,0.821557866,0.501728059,0.993111573
3.077519380,0.821622159,0.501725254,0.993122712
3.078519630,0.821686405,0.501722455,0.993133834
3.079519880,0.821750605,0.501719660,0.993144937
3.080520130,0.821814757,0.501716869,0.993156023
3.081520380,0.821878863,0.501714083,0.993167091
3.082520630,0.821942923,0.501711302,0.993178140
3.083520880,0.822006935,0.501708525,0.993189172
3.084521130,0.822070902,0.501705753,0.993200186
3.085521380,0.822134822,0.501702985,0.993211182
3.086521630,0.822198695,0.501700222,0.993222161
3.087521880,0.822262522,0.501697463,0.993233121
3.088522131,0.822326303,0.501694709,0.993244064
3.089522381,0.822390038,0.501691959,0.993254989
3.090522631,0.822453726,0.501689213,0.993265897
3.091522881,0.822517369,0.501686473,0.993276787
3.092523131,0.822580965,0.501683736,0.993287659
3.093523381,0.822644515,0.501681004,0.993298514
3.094523631,0.822708019,0.501678277,0.993309351
3.095523881,0.822771477,0.501675554,0.993320171
3.096524131,0.822834890,0.501672835,0.993330973
3.097524381,0.822898256,0.501670121,0.993341758
3.098524631,0.822961577,0.501667411,0.993352525
3.099524881,0.823024852,0.501664705,0.993363275
3.100525131,0.823088081,0.501662004,0.993374007
3.101525381,0.823151265,0.501659308,0.993384722
3.102525631,0.823214403,0.501656616,0.993395420
3.103525881,0.823277496,0.501653928,0.993406100
3.104526132,0.823340543,0.501651244,0.993416764
3.105526382,0.823403545,0.501648565,0.993427410
3.106526632,0.823466501,0.501645891,0.993438038
3.107526882,0.823529412,0.501643220,0.993448650
3.108527132,0.823592277,0.501640554,0.993459244
3.109527382,0.823655098,0.501637893,0.993469821
3.110527632,0.823717873,0.501635235,0.993480382
3.111527882,0.823780603,0.501632582,0.993490925
3.112528132,0.823843288,0.501629933,0.993501451
3.113528382,0.823905928,0.501627289,0.993511960
3.114528632,0.823968523,0.501624649,0.993522452
3.115528882,0.824031073,0.501622013,0.993532927
3.116529132,0.824093578,0.501619382,0.993543385
3.117529382,0.824156038,0.501616754,0.993553826
3.118529632,0.824218454,0.501614131,0.993564250
3.119529882,0.824280825,0.501611513,0.993574658
3.120530133,0.824343151,0.501608898,0.993585048
3.121530383,0.824405432,0.501606288,0.993595422
3.122530633,0.824467669,0.501603682,0.993605779
3.123530883,0.824529861,0.501601081,0.993616119
3.124531133,0.824592009,0.501598483,0.993626443
3.125531383,0.824654112,0.501595890,0.993636750
3.126531633,0.824716171,0.501593301,0.993647040
3.127531883,0.824778185,0.501590716,0.993657314
3.128532133,0.824840155,0.501588136,0.993667571
3.129532383,0.824902081,0.501585559,0.993677811
3.130532633,0.824963963,0.501582987,0.993688035
3.131532883,0.825025801,0.501580419,0.993698242
3.132533133,0.825087594,0.501577855,0.993708433
3.133533383,0.825149343,0.501575296,0.993718607
3.134533633,0.825211049,0.501572740,0.993728765
3.135533883,0.825272710,0.501570189,0.993738906
3.136534134,0.825334327,0.501567642,0.993749031
3.137534384,0.825395901,0.501565099,0.993759140
3.138534634,0.825457431,0.501562560,0.993769232
3.139534884,0.825518916,0.501560025,0.993779308
3.140535134,0.825580359,0.501557495,0.993789368
3.141535384,0.825641757,0.501554968,0.993799411
3.142535634,0.825703112,0.501552446,0.993809438
3.143535884,0.825764423,0.501549927,0.993819449
3.144536134,0.825825691,0.501547413,0.993829444
3.145536384,0.825886915,0.501544903,0.993839423
3.146536634,0.825948096,0.501542397,0.993849385
3.147536884,0.826009233,0.501539895,0.993859331
3.148537134,0.826070327,0.501537397,0.993869262
3.149537384,0.826131377,0.501534903,0.993879176
3.150537634,0.826192385,0.501532414,0.993889074
3.151537884,0.826253349,0.501529928,0.993898956
3.152538135,0.826314270,0.501527446,0.993908822
3.153538385,0.826375148,0.501524969,0.993918673
3.154538635,0.826435982,0.501522495,0.993928507
3.155538885,0.826496774,0.501520026,0.993938325
3.156539135,0.826557523,0.501517560,0.993948128
3.157539385,0.826618228,0.501515099,0.993957915
3.158539635,0.826678891,0.501512641,0.993967685
3.159539885,0.826739511,0.501510188,0.993977440
3.160540135,0.826800088,0.501507738,0.993987180
3.161540385,0.826860623,0.501505292,0.993996903
3.162540635,0.826921114,0.501502851,0.994006611
3.163540885,0.826981563,0.501500413,0.994016303
3.164541135,0.827041970,0.501497980,0.994025979
3.165541385,0.827102333,0.501495550,0.994035640
3.166541635,0.827162655,0.501493124,0.994045285
3.167541885,0.827222933,0.501490702,0.994054915
3.168542136,0.827283170,0.501488285,0.994064529
3.169542386,0.827343364,0.501485871,0.994074127
3.170542636,0.827403515,0.501483461,0.994083710
3.171542886,0.827463624,0.501481055,0.994093278
3.172543136,0.827523691,0.501478653,0.994102830
3.173543386,0.827583716,0.501476254,0.994112366
3.174543636,0.827643699,0.501473860,0.994121887
3.175543886,0.827703639,0.501471470,0.994131393
3.176544136,0.827763538,0.501469083,0.994140883
3.177544386,0.827823394,0.501466700,0.994150358
3.178544636,0.827883208,0.501464322,0.994159818
3.179544886,0.827942981,0.501461947,0.994169262
3.180545136,0.828002711,0.501459576,0.994178691
3.181545386,0.828062400,0.501457208,0.994188105
3.182545636,0.828122047,0.501454845,0.994197503
3.183545886,0.828181652,0.501452486,0.994206887
3.184546137,0.828241215,0.501450130,0.994216255
3.185546387,0.828300736,0.501447778,0.994225608
3.186546637,0.828360216,0.501445430,0.994234946
3.187546887,0.828419655,0.501443086,0.994244269
3.188547137,0.828479052,0.501440745,0.994253577
3.189547387,0.828538407,0.501438409,0.994262869
3.190547637,0.828597721,0.501436076,0.994272147
3.191547887,0.828656993,0.501433747,0.994281410
3.192548137,0.828716224,0.501431422,0.994290657
3.193548387,0.828775414,0.501429100,0.994299890
3.194548637,0.828834562,0.501426783,0.994309108
3.195548887,0.828893670,0.501424469,0.994318311
3.196549137,0.828952736,0.501422159,0.994327499
3.197549387,0.829011760,0.501419853,0.994336672
3.198549637,0.829070744,0.501417550,0.994345830
3.199549887,0.829129687,0.501415251,0.994354974
3.200550138,0.829188588,0.501412956,0.994364103
3.201550388,0.829247449,0.501410665,0.994373217
3.202550638,0.829306269,0.501408377,0.994382316
3.203550888,0.829365048,0.501406093,0.994391400
3.204551138,0.829423785,0.501403813,0.994400470
3.205551388,0.829482483,0.501401536,0.994409525
3.206551638,0.829541139,0.501399263,0.994418566
3.207551888,0.829599755,0.501396994,0.994427592
3.208552138,0.829658329,0.501394729,0.994436603
3.209552388,0.829716864,0.501392467,0.994445600
3.210552638,0.829775357,0.501390209,0.994454582
3.211552888,0.829833811,0.501387955,0.994463550
3.212553138,0.829892223,0.501385704,0.994472503
3.213553388,0.829950595,0.501383457,0.994481442
3.214553638,0.830008927,0.501381214,0.994490366
3.215553888,0.830067218,0.501378974,0.994499276
3.216554139,0.830125469,0.501376738,0.994508171
3.217554389,0.830183680,0.501374505,0.994517052
3.218554639,0.830241851,0.501372276,0.994525919
3.219554889,0.830299981,0.501370051,0.994534771
3.220555139,0.830358071,0.501367829,0.994543609
3.221555389,0.830416121,0.501365611,0.994552433
3.222555639,0.830474131,0.501363397,0.994561242
3.223555889,0.830532100,0.501361186,0.994570037
3.224556139,0.830590030,0.501358979,0.994578818
3.225556389,0.830647920,0.501356775,0.994587585
3.226556639,0.830705770,0.501354575,0.994596337
3.227556889,0.830763580,0.501352379,0.994605076
3.228557139,0.830821350,0.501350186,0.994613800
3.229557389,0.830879081,0.501347997,0.994622510
3.230557639,0.830936771,0.501345811,0.994631206
3.231557889,0.830994422,0.501343629,0.994639888
3.232558140,0.831052033,0.501341450,0.994648556
3.233558390,0.831109605,0.501339275,0.994657210
3.234558640,0.831167137,0.501337104,0.994665850
3.235558890,0.831224629,0.501334935,0.994674476
3.236559140,0.831282082,0.501332771,0.994683089
3.237559390,0.831339496,0.501330610,0.994691687
3.238559640,0.831396870,0.501328452,0.994700271
3.239559890,0.831454204,0.501326299,0.994708841
