alpha,eta,omega,m,epsilon,q,sigma0,R,Kappa,phi,r0,K,lambda_A,Omega0,segment_mode,Xi,logG,lhs,stable_direct,stable_criterion,near_boundary,criterion_margin,integral_gamma,damping_sum,log_mirror
2.5,0.0,0.25,4,0.2,3.0,0.4,0.9999,1e-05,1.618034,1.0,32,0.0,1.15555555556,uniform,252.89915900743065,209.19130953135968,0.0,False,False,False,-252.89915900743065,209.19141953641002,0.0,-0.00011000505033366343
2.5,0.0,0.25,4,0.2,3.0,0.4,0.9999,1e-05,1.618034,1.0,32,0.8,1.15555555556,uniform,252.89915900743065,178.9753238748065,10.240000000000002,False,False,False,-242.65915900743065,209.19141953641002,30.2159856565532,-0.00011000505033366343
2.5,0.0,0.25,4,0.2,3.0,0.4,0.9999,1e-05,1.618034,1.0,32,0.0,1.36666666667,uniform,301.2826566660113,249.58971930491956,0.0,False,False,False,-301.2826566660113,249.5898293099699,0.0,-0.00011000505033366343
2.5,0.0,0.25,4,0.2,3.0,0.4,0.9999,1e-05,1.618034,1.0,32,0.8,1.36666666667,uniform,301.2826566660113,219.37373364836637,10.240000000000002,False,False,False,-291.0426566660113,249.5898293099699,30.2159856565532,-0.00011000505033366343
2.5,0.0,0.25,4,0.2,3.0,0.4,0.9999,1e-05,1.618034,1.0,32,0.0,1.36666666667,uniform,301.2826566657567,249.58971930470696,0.0,False,False,False,-301.2826566657567,249.5898293097573,0.0,-0.00011000505033366343
2.5,0.0,0.25,4,0.2,3.0,0.4,0.9999,1e-05,1.618034,1.0,32,0.8,1.36666666667,uniform,301.2826566657567,219.37373364815377,10.240000000000002,False,False,False,-291.0426566657567,249.5898293097573,30.2159856565532,-0.00011000505033366343
2.5,0.0,0.25,4,0.2,3.0,0.4,0.9999,1e-05,1.618034,1.0,32,0.0,1.57777777778,uniform,349.6661543243373,289.98812907826687,0.0,False,False,False,-349.6661543243373,289.9882390833172,0.0,-0.00011000505033366343
2.5,0.0,0.25,4,0.2,3.0,0.4,0.9999,1e-05,1.618034,1.0,32,0.8,1.57777777778,uniform,349.6661543243373,259.7721434217137,10.240000000000002,False,False,False,-339.4261543243373,289.9882390833172,30.2159856565532,-0.00011000505033366343
2.5,0.0,0.25,4,0.2,3.0,0.4,0.9999,1e-05,1.618034,1.0,32,0.0,1.57777777778,uniform,349.6661543240826,289.9881290780542,0.0,False,False,False,-349.6661543240826,289.98823908310453,0.0,-0.00011000505033366343
2.5,0.0,0.25,4,0.2,3.0,0.4,0.9999,1e-05,1.618034,1.0,32,0.8,1.57777777778,uniform,349.6661543240826,259.772143421501,10.240000000000002,False,False,False,-339.4261543240826,289.98823908310453,30.2159856565532,-0.00011000505033366343
2.5,0.0,0.25,4,0.2,3.0,0.4,0.9999,1e-05,1.618034,1.0,32,0.0,1.78888888889,uniform,398.04965198266325,330.38653885161415,0.0,False,False,False,-398.04965198266325,330.38664885666446,0.0,-0.00011000505033366343
2.5,0.0,0.25,4,0.2,3.0,0.4,0.9999,1e-05,1.618034,1.0,32,0.8,1.78888888889,uniform,398.04965198266325,300.17055319506096,10.240000000000002,False,False,False,-387.80965198266324,330.38664885666446,30.2159856565532,-0.00011000505033366343
2.5,0.0,0.25,4,0.2,3.0,0.4,0.9999,1e-05,1.618034,1.0,32,0.0,1.78888888889,uniform,398.04965198240865,330.38653885140155,0.0,False,False,False,-398.04965198240865,330.38664885645187,0.0,-0.00011000505033366343
2.5,0.0,0.25,4,0.2,3.0,0.4,0.9999,1e-05,1.618034,1.0,32,0.8,1.78888888889,uniform,398.04965198240865,300.17055319484837,10.240000000000002,False,False,False,-387.80965198240864,330.38664885645187,30.2159856565532,-0.00011000505033366343
2.5,0.0,0.25,4,0.2,3.0,0.4,0.9999,1e-05,1.618034,1.0,32,0.0,2.0,uniform,446.43314964073454,370.7849486247487,0.0,False,False,False,-446.43314964073454,370.78505862979904,0.0,-0.00011000505033366343
2.5,0.0,0.25,4,0.2,3.0,0.4,0.9999,1e-05,1.618034,1.0,32,0.8,2.0,uniform,446.43314964073454,340.56896296819554,10.240000000000002,False,False,False,-436.19314964073453,370.78505862979904,30.2159856565532,-0.00011000505033366343
2.5,0.0,0.25,4,0.2,3.0,0.4,0.9999,1e-05,1.618034,1.0,32,0.0,2.0,uniform,446.43314964073454,370.7849486247487,0.0,False,False,False,-446.43314964073454,370.78505862979904,0.0,-0.00011000505033366343
